Word,words
2014-03-14 04:56:56 +0000
id,w1,w2,w3,text_ids,text_id,lang_id,dbId,created_at_mill,updated_at_mill,created_at,updated_at
1988,坦率,tan3shuai4,"",,161,1,0,1387711115749,1387711115749,2013-12-22 11:18:35 UTC,2013-12-22 11:18:35 UTC
1989,弥平,mi2-,"",,161,1,0,1387711211552,1387711211552,2013-12-22 11:20:11 UTC,2013-12-22 11:20:11 UTC
1990,认同,--,identity,,161,1,0,1387711325595,1387711325595,2013-12-22 11:22:05 UTC,2013-12-22 11:22:05 UTC
1991,玉兔,yu4tu4,"",,162,1,0,1387711716444,1387711716444,2013-12-22 11:28:36 UTC,2013-12-22 11:28:36 UTC
1992,短暂,-zan4,"",,162,1,0,1387711765796,1387711765796,2013-12-22 11:29:25 UTC,2013-12-22 11:29:25 UTC
1993,月昼,-zhou4,"",,162,1,0,1387711841802,1387711841802,2013-12-22 11:30:41 UTC,2013-12-22 11:30:41 UTC
1994,摄氏,she4shi4,"",,162,1,0,1387711955137,1387711955137,2013-12-22 11:32:35 UTC,2013-12-22 11:32:35 UTC
1995,温差,-cha1,"",,162,1,0,1387711984114,1387711984114,2013-12-22 11:33:04 UTC,2013-12-22 11:33:04 UTC
1996,着陆,zhuo2-,"",,162,1,0,1387795556425,1387795556425,2013-12-23 10:45:56 UTC,2013-12-23 10:45:56 UTC
1997,地貌,-mao4,"",,162,1,0,1387795701413,1387795701413,2013-12-23 10:48:21 UTC,2013-12-23 10:48:21 UTC
1998,拼接,pin1-,"",,162,1,0,1387795783385,1387795783385,2013-12-23 10:49:43 UTC,2013-12-23 10:49:43 UTC
1999,平坦,-tan3,"",,162,1,0,1387795900781,1387795900781,2013-12-23 10:51:40 UTC,2013-12-23 10:51:40 UTC
2000,坑,keng1,"",,162,1,0,1387795935374,1387795935374,2013-12-23 10:52:15 UTC,2013-12-23 10:52:15 UTC
2001,裴照宇,Pei2Zhao4-,"",,162,1,0,1387796003214,1387796003214,2013-12-23 10:53:23 UTC,2013-12-23 10:53:23 UTC
2002,遥测,yao2ce4,遠隔測定,,162,1,0,1387796076268,1387796076269,2013-12-23 10:54:23 UTC,2013-12-23 10:54:36 UTC
2003,李劲松,-Jin4-,"",,162,1,0,1387796488457,1387796488457,2013-12-23 11:01:28 UTC,2013-12-23 11:01:28 UTC
2004,治愈,-yu4,"",,163,1,0,1387796549352,1387796549352,2013-12-23 11:02:29 UTC,2013-12-23 11:02:29 UTC
2005,小鼠,-shu3,"",,163,1,0,1387796607024,1387796607024,2013-12-23 11:03:27 UTC,2013-12-23 11:03:27 UTC
2006,修饰,-shi4,"",,163,1,0,1387796748278,1387796748278,2013-12-23 11:05:48 UTC,2013-12-23 11:05:48 UTC
